	VIF
BPSL1201_IMPS	1.331404088027533
BPSL1404_ClpX	1.2063448987034677
BPSL1743_Arg	1.5990549715340665
BPSL2096_AhpC	1.7917306626810618
BPSL2522_OmpA	2.0274914219926123
BPSL2697_GroEL	8.053591433388453
BPSL2827_DNAK	1.4673022916169498
BPSL3222_rpIL	1.571895794166314
BPSL3396_AtpD	1.2310178095675635
BPSS0135	1.8843176028177324
BPSS0476_GroS	1.4768775565656356
BPSS0477_GroEL2	7.130099399369294
BPSS0530	1.8201807793547233
BPSS1498_HCP1.B	1.7948485497889621
BPSS1652	2.2019949004379895
BPSS1769_NADH	1.5469791975198104
BPSS1850	2.5197023006270296
CPS	1.1316598404858331
LPSA	1.8062951529524782
LPSB	1.4607133133733512
