	VIF
BPSL1201_IMPS	-148527244733550.3
BPSL1404_ClpX	-64501933111212.34
BPSL1743_Arg	647121267425015.2
BPSL2096_AhpC	-1981723414942866.2
BPSL2522_OmpA	1969044325154503.5
BPSL2697_GroEL	2873655077681593.5
BPSL2827_DNAK	-1117530567683913.1
BPSL3222_rpIL	-1236704906723326.8
BPSL3396_AtpD	573055051101885.9
BPSS0135	1841108498077208.8
BPSS0476_GroS	611366921112894.6
BPSS0477_GroEL2	318052532413246.2
BPSS0530	29548000330895.285
BPSS1498_HCP1.B	-3147048236141014.0
BPSS1652	-37991408927295.06
BPSS1769_NADH	564113884930570.2
BPSS1850	-1089703541807447.4
CPS	-533373108943057.4
LPSA	96654797094970.64
LPSB	72784989836431.27
