	VIF
BPSL1201_IMPS	3.6759483047638306
BPSL1404_ClpX	2.4191106288485518
BPSL1743_Arg	1.8723325985534842
BPSL2096_AhpC	2.504498594010222
BPSL2522_OmpA	2.329230115088266
BPSL2697_GroEL	8.897363282940292
BPSL2827_DNAK	1.2026854704610794
BPSL3222_rpIL	2.156880518886436
BPSL3396_AtpD	3.605278729531115
BPSS0135	2.69495417292801
BPSS0476_GroS	2.5158968611944084
BPSS0477_GroEL2	12.07963270047886
BPSS0530	2.683342633886317
BPSS1498_HCP1.B	2.938165555206906
BPSS1652	11.404137383183546
BPSS1769_NADH	4.021998274073806
BPSS1850	4.8835925184419855
CPS	1.879949952866566
LPSA	2.0750685090474543
LPSB	3.0896552533145383
