	VIF
BPSL1201_IMPS	1.1775309340214901
BPSL1404_ClpX	1.3972572612106806
BPSL1743_Arg	1.8927113571187186
BPSL2096_AhpC	2.800391090289893
BPSL2522_OmpA	2.0727072326697646
BPSL2697_GroEL	13.756624710764177
BPSL2827_DNAK	2.912101178740944
BPSL3222_rpIL	2.0805929829016043
BPSL3396_AtpD	1.4503410648409802
BPSS0135	1.9066966583334344
BPSS0476_GroS	1.5581323375109324
BPSS0477_GroEL2	16.092311271465984
BPSS0530	3.011373908048676
BPSS1498_HCP1.B	2.813950254908629
BPSS1652	6.840924910200442
BPSS1769_NADH	5.734084770183253
BPSS1850	3.379562636554042
CPS	1.9560380860519124
LPSA	2.110848292391703
LPSB	1.8269788809656131
