	VIF
BPSL1201_IMPS	1.178669052460829
BPSL1404_ClpX	1.259850803539551
BPSL1743_Arg	1.778184757301864
BPSL2096_AhpC	2.9213484050534366
BPSL2522_OmpA	2.0671865257412163
BPSL2697_GroEL	14.661934568562824
BPSL2827_DNAK	2.010688113819424
BPSL3222_rpIL	1.5537504042722448
BPSL3396_AtpD	1.3204683685146739
BPSS0135	1.765818736537188
BPSS0476_GroS	1.5008749314670344
BPSS0477_GroEL2	15.613191493367447
BPSS0530	2.1616777567603433
BPSS1498_HCP1.B	3.4973681646754153
BPSS1652	4.305244206877313
BPSS1769_NADH	2.826676279419299
BPSS1850	2.5421536284025557
CPS	2.287686707311837
LPSA	2.5652842518826477
LPSB	1.8422895603945404
