	VIF
BPSL1201_IMPS	1.2260381516609224
BPSL1404_ClpX	1.2707288379040018
BPSL1743_Arg	1.6409815149755393
BPSL2096_AhpC	2.5481036753091524
BPSL2522_OmpA	1.959559995922297
BPSL2697_GroEL	12.437639758895449
BPSL2827_DNAK	1.6812125152196422
BPSL3222_rpIL	1.5282067314756906
BPSL3396_AtpD	1.3235388454228751
BPSS0135	1.67947796509967
BPSS0476_GroS	1.5789370195489296
BPSS0477_GroEL2	13.669022616398486
BPSS0530	2.1775165347717715
BPSS1498_HCP1.B	3.0398330438963983
BPSS1652	4.803288315303715
BPSS1769_NADH	2.7544132668499923
BPSS1850	2.5152945155512167
CPS	2.0872005451065014
LPSA	2.3861503449383954
LPSB	1.7087491094731924
